Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID,Pathway
0.124606978,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub11,Ventral
0.168019738,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub12,Ventral
0.159809783,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub1,Ventral
0.137226584,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub2,Ventral
0.157020883,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub3,Ventral
0.150677378,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub4,Ventral
0.162100043,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub5,Ventral
0.172686773,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub6,Ventral
0.120665535,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub7,Ventral
0.193138707,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub8,Ventral
0.113137091,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub9,Ventral
0.124117917,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub10,Ventral
0.153992082,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub11,Ventral
0.212869561,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub12,Ventral
0.135365723,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub1,Dorsal
0.072851046,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub2,Dorsal
0.127504097,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub3,Dorsal
0.057089994,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub4,Dorsal
0.17350642,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub5,Dorsal
0.121047807,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub6,Dorsal
0.175100905,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub7,Dorsal
0.128108827,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub8,Dorsal
0.087796179,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub9,Dorsal
0.110759646,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub10,Dorsal
0.08771552,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub11,Dorsal
0.181847711,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub12,Dorsal
0.142086863,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub1,Dorsal
0.118338436,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub2,Dorsal
0.132020811,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub3,Dorsal
0.08898109,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub4,Dorsal
0.132379529,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub5,Dorsal
0.107000162,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub6,Dorsal
