Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID_Full,ID,Hemi,Pathway
-0.228522341,Ventral_R,2,Novel,Components,Novel_sub10,sub10,Right,Ventral
-0.572444247,Ventral_R,2,Novel,Components,Novel_sub11,sub11,Right,Ventral
-0.174207928,Ventral_R,2,Novel,Components,Novel_sub12,sub12,Right,Ventral
0.558230547,Ventral_L,1,Novel,Components,Novel_sub1,sub1,Left,Ventral
0.676634092,Ventral_L,1,Novel,Components,Novel_sub2,sub2,Left,Ventral
1.056206276,Ventral_L,1,Novel,Components,Novel_sub3,sub3,Left,Ventral
0.708192282,Ventral_L,1,Novel,Components,Novel_sub4,sub4,Left,Ventral
0.639552685,Ventral_L,1,Novel,Components,Novel_sub5,sub5,Left,Ventral
0.870558007,Ventral_L,1,Novel,Components,Novel_sub6,sub6,Left,Ventral
0.527515519,Ventral_L,1,Novel,Components,Novel_sub7,sub7,Left,Ventral
0.574474616,Ventral_L,1,Novel,Components,Novel_sub8,sub8,Left,Ventral
0.92562615,Ventral_L,1,Novel,Components,Novel_sub9,sub9,Left,Ventral
0.634944105,Ventral_L,1,Novel,Components,Novel_sub10,sub10,Left,Ventral
0.904772514,Ventral_L,1,Novel,Components,Novel_sub11,sub11,Left,Ventral
0.620511764,Ventral_L,1,Novel,Components,Novel_sub12,sub12,Left,Ventral
-0.295294935,Ventral_L,2,Novel,Components,Novel_sub1,sub1,Left,Ventral
-0.549220262,Ventral_L,2,Novel,Components,Novel_sub2,sub2,Left,Ventral
-0.470842439,Ventral_L,2,Novel,Components,Novel_sub3,sub3,Left,Ventral
-0.287587789,Ventral_L,2,Novel,Components,Novel_sub4,sub4,Left,Ventral
-0.513028328,Ventral_L,2,Novel,Components,Novel_sub5,sub5,Left,Ventral
-0.714180669,Ventral_L,2,Novel,Components,Novel_sub6,sub6,Left,Ventral
-0.354518656,Ventral_L,2,Novel,Components,Novel_sub7,sub7,Left,Ventral
-0.752850859,Ventral_L,2,Novel,Components,Novel_sub8,sub8,Left,Ventral
-0.547673371,Ventral_L,2,Novel,Components,Novel_sub9,sub9,Left,Ventral
-0.239911298,Ventral_L,2,Novel,Components,Novel_sub10,sub10,Left,Ventral
-0.545608505,Ventral_L,2,Novel,Components,Novel_sub11,sub11,Left,Ventral
-0.123855091,Ventral_L,2,Novel,Components,Novel_sub12,sub12,Left,Ventral
0.877347197,Dorsal_R,1,Novel,Components,Novel_sub1,sub1,Right,Dorsal
0.807581488,Dorsal_R,1,Novel,Components,Novel_sub2,sub2,Right,Dorsal
0.989704221,Dorsal_R,1,Novel,Components,Novel_sub3,sub3,Right,Dorsal
1.305009914,Dorsal_R,1,Novel,Components,Novel_sub4,sub4,Right,Dorsal
0.743702349,Dorsal_R,1,Novel,Components,Novel_sub5,sub5,Right,Dorsal
0.489817866,Dorsal_R,1,Novel,Components,Novel_sub6,sub6,Right,Dorsal
0.889367727,Dorsal_R,1,Novel,Components,Novel_sub7,sub7,Right,Dorsal
0.659927867,Dorsal_R,1,Novel,Components,Novel_sub8,sub8,Right,Dorsal
1.032280811,Dorsal_R,1,Novel,Components,Novel_sub9,sub9,Right,Dorsal
1.394903119,Dorsal_R,1,Novel,Components,Novel_sub10,sub10,Right,Dorsal
1.113042164,Dorsal_R,1,Novel,Components,Novel_sub11,sub11,Right,Dorsal
0.772779278,Dorsal_R,1,Novel,Components,Novel_sub12,sub12,Right,Dorsal
-0.43108606,Dorsal_R,2,Novel,Components,Novel_sub1,sub1,Right,Dorsal
-0.277671914,Dorsal_R,2,Novel,Components,Novel_sub2,sub2,Right,Dorsal
