Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID_FULL,Pathway,Hemi,ID
0.096250043,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub3,Ventral,Right,sub3
0.082783783,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub4,Ventral,Right,sub4
0.099371729,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub5,Ventral,Right,sub5
0.123891026,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub6,Ventral,Right,sub6
0.199615887,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub7,Ventral,Right,sub7
0.124674975,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub8,Ventral,Right,sub8
0.11736903,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub9,Ventral,Right,sub9
0.08814151,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub10,Ventral,Right,sub10
0.1180212,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub11,Ventral,Right,sub11
0.104151096,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub12,Ventral,Right,sub12
0.074888092,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub1,Ventral,Right,sub1
0.159569039,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub2,Ventral,Right,sub2
0.097494126,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub3,Ventral,Right,sub3
0.065063897,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub4,Ventral,Right,sub4
0.105432517,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub5,Ventral,Right,sub5
0.133531433,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub6,Ventral,Right,sub6
0.126308153,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub7,Ventral,Right,sub7
0.13370971,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub8,Ventral,Right,sub8
0.101079736,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub9,Ventral,Right,sub9
0.08672882,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub10,Ventral,Right,sub10
0.142773914,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub11,Ventral,Right,sub11
0.087673698,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub12,Ventral,Right,sub12
0.07972296,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub1,Ventral,Left,sub1
0.143973823,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub2,Ventral,Left,sub2
0.126971016,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub3,Ventral,Left,sub3
0.110742532,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub4,Ventral,Left,sub4
0.152587404,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub5,Ventral,Left,sub5
0.140473653,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub6,Ventral,Left,sub6
0.158335733,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub7,Ventral,Left,sub7
0.15764796,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub8,Ventral,Left,sub8
0.126387564,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub9,Ventral,Left,sub9
0.08793457,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub10,Ventral,Left,sub10
0.116079589,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub11,Ventral,Left,sub11
